Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000           0.1793      -0.0146       0.1939  1500.0
0.0010           0.1809      -0.0146       0.1954  1512.0
0.0020           0.1804      -0.0144       0.1948  1507.1
0.0030           0.1799      -0.0139       0.1938  1499.3
0.0040           0.1788      -0.0131       0.1919  1484.6
0.0050           0.1773      -0.0118       0.1891  1462.6
0.0060           0.1760      -0.0098       0.1858  1437.3
0.0070           0.1732      -0.0066       0.1798  1391.1
0.0080           0.1729      -0.0024       0.1754  1356.6
0.0090           0.1722       0.0025       0.1697  1312.8
0.0100           0.1710       0.0076       0.1633  1263.5
0.0110           0.1704       0.0130       0.1574  1217.7
0.0120           0.1707       0.0189       0.1518  1174.6
0.0130           0.1707       0.0250       0.1457  1127.0
0.0140           0.1718       0.0315       0.1404  1085.9
0.0150           0.1729       0.0380       0.1349  1043.7
0.0160           0.1723       0.0446       0.1277   988.2
0.0170           0.1721       0.0510       0.1210   936.3
0.0180           0.1735       0.0573       0.1162   898.9
0.0190           0.1734       0.0633       0.1101   852.1
0.0200           0.1731       0.0689       0.1042   806.4
0.0210           0.1726       0.0741       0.0985   762.4
0.0220           0.1741       0.0790       0.0951   735.5
0.0230           0.1724       0.0833       0.0891   689.2
0.0240           0.1721       0.0871       0.0850   657.7
0.0250           0.1721       0.0905       0.0816   631.5
0.0260           0.1713       0.0931       0.0782   605.3
0.0270           0.1713       0.0954       0.0759   587.5
0.0280           0.1699       0.0972       0.0728   563.1
0.0290           0.1700       0.0985       0.0715   553.2
0.0300           0.1693       0.0993       0.0700   541.5
0.0310           0.1684       0.0996       0.0688   532.3
0.0320           0.1688       0.0995       0.0693   536.2
0.0330           0.1688       0.0990       0.0698   539.9
0.0340           0.1695       0.0981       0.0713   551.7
0.0350           0.1696       0.0970       0.0727   562.2
0.0360           0.1698       0.0956       0.0742   574.2
0.0370           0.1691       0.0941       0.0751   580.7
0.0380           0.1696       0.0925       0.0771   596.5
0.0390           0.1700       0.0908       0.0792   612.3
0.0400           0.1700       0.0892       0.0809   625.8
0.0410           0.1706       0.0875       0.0831   642.6
0.0420           0.1707       0.0860       0.0848   655.7
0.0430           0.1714       0.0845       0.0869   672.4
0.0440           0.1721       0.0832       0.0888   687.2
0.0450           0.1718       0.0821       0.0897   694.2
0.0460           0.1713       0.0811       0.0902   697.6
0.0470           0.1729       0.0804       0.0925   715.9
0.0480           0.1744       0.0797       0.0948   733.2
0.0490           0.1747       0.0790       0.0957   740.6
0.0500           0.1754       0.0785       0.0969   749.7
0.0510           0.1759       0.0781       0.0978   756.7
0.0520           0.1759       0.0779       0.0980   758.5
0.0530           0.1750       0.0777       0.0972   752.1
0.0540           0.1747       0.0777       0.0970   750.6
0.0550           0.1748       0.0777       0.0971   751.3
0.0560           0.1747       0.0777       0.0970   750.7
0.0570           0.1737       0.0776       0.0961   743.6
0.0580           0.1733       0.0775       0.0957   740.7
0.0590           0.1720       0.0776       0.0945   730.8
0.0600           0.1701       0.0776       0.0926   716.1
0.0610           0.1686       0.0775       0.0911   704.5
0.0620           0.1668       0.0774       0.0894   691.3
0.0630           0.1646       0.0773       0.0873   675.2
0.0640           0.1631       0.0771       0.0860   665.5
0.0650           0.1602       0.0767       0.0835   645.7
0.0660           0.1587       0.0763       0.0824   637.5
0.0670           0.1576       0.0759       0.0817   631.8
0.0680           0.1546       0.0754       0.0792   612.9
0.0690           0.1536       0.0747       0.0789   610.1
0.0700           0.1515       0.0740       0.0775   599.6
0.0710           0.1493       0.0735       0.0758   586.6
0.0720           0.1490       0.0728       0.0762   589.3
0.0730           0.1474       0.0723       0.0751   580.7
0.0740           0.1459       0.0715       0.0744   575.2
0.0750           0.1452       0.0708       0.0744   576.0
0.0760           0.1444       0.0700       0.0744   575.6
0.0770           0.1430       0.0691       0.0739   571.7
0.0780           0.1425       0.0684       0.0741   573.4
0.0790           0.1422       0.0676       0.0746   576.8
0.0800           0.1415       0.0667       0.0748   578.5
0.0810           0.1400       0.0657       0.0743   575.0
0.0820           0.1388       0.0649       0.0739   571.7
0.0830           0.1397       0.0641       0.0757   585.4
0.0840           0.1403       0.0632       0.0771   596.7
0.0850           0.1399       0.0624       0.0775   599.6
0.0860           0.1398       0.0616       0.0782   604.9
0.0870           0.1404       0.0608       0.0797   616.2
0.0880           0.1419       0.0601       0.0819   633.4
0.0890           0.1416       0.0594       0.0822   635.6
0.0900           0.1414       0.0589       0.0825   638.3
0.0910           0.1414       0.0585       0.0829   641.3
0.0920           0.1425       0.0582       0.0843   652.3
0.0930           0.1438       0.0582       0.0856   662.2
0.0940           0.1446       0.0579       0.0867   670.9
0.0950           0.1461       0.0575       0.0886   685.7
0.0960           0.1472       0.0574       0.0899   695.4
0.0970           0.1476       0.0574       0.0901   697.1
0.0980           0.1479       0.0572       0.0906   701.1
0.0990           0.1486       0.0571       0.0915   707.9
0.1000           0.1488       0.0572       0.0916   708.7
