  Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
      0.1793      -0.0146       0.1939  1500.0
      1.0534       0.8594       0.1940  1500.7
      1.0534       0.8594       0.1940  1500.7
      1.0496       0.8563       0.1933  1495.0
      1.0496       0.8563       0.1933  1495.0
      1.0463       0.8526       0.1937  1498.7
      1.0463       0.8526       0.1937  1498.7
      1.0463       0.8526       0.1937  1498.3
      1.0463       0.8526       0.1937  1498.3
      1.0478       0.8544       0.1934  1496.3
      1.0478       0.8544       0.1934  1496.3
      1.0473       0.8555       0.1918  1484.1
      1.0473       0.8555       0.1918  1484.1
      1.1478       0.9560       0.1918  1483.5
      1.1478       0.9560       0.1918  1483.5
      1.1522       0.9605       0.1918  1483.6
      1.1522       0.9605       0.1918  1483.6
      1.1548       0.9635       0.1913  1479.9
      1.1548       0.9635       0.1913  1479.9
      1.1560       0.9638       0.1921  1486.5
      1.1560       0.9638       0.1921  1486.5
      1.1567       0.9624       0.1942  1502.7
      1.1567       0.9624       0.1942  1502.7
      1.1582       0.9616       0.1966  1520.7
      1.1582       0.9616       0.1966  1520.7
      1.1587       0.9601       0.1985  1535.8
      1.1587       0.9601       0.1985  1535.8
      1.2258       1.0262       0.1997  1544.7
      1.2258       1.0262       0.1997  1544.7
      1.2266       1.0248       0.2018  1561.6
      1.2266       1.0248       0.2018  1561.6
      1.2281       1.0228       0.2052  1587.7
      1.2281       1.0228       0.2052  1587.7
      1.2276       1.0177       0.2099  1623.9
      1.2276       1.0177       0.2099  1623.9
      1.2334       1.0180       0.2153  1665.7
      1.2334       1.0180       0.2153  1665.7
      1.2340       1.0149       0.2191  1694.8
      1.2340       1.0149       0.2191  1694.8
      1.2368       1.0164       0.2204  1705.0
      1.2368       1.0164       0.2204  1705.0
      1.2378       1.0196       0.2182  1687.9
      1.2378       1.0196       0.2182  1687.9
      1.2391       1.0297       0.2093  1619.6
      1.2391       1.0297       0.2093  1619.6
      1.2383       1.0462       0.1921  1486.2
      1.2383       1.0462       0.1921  1486.2
      1.2416       1.0713       0.1703  1317.4
      1.2416       1.0713       0.1703  1317.4
      1.2431       1.0957       0.1474  1140.5
      1.2431       1.0957       0.1474  1140.5
      1.2483       1.1184       0.1299  1004.6
      1.2483       1.1184       0.1299  1004.6
      1.2475       1.1256       0.1219   942.9
      1.2475       1.1256       0.1219   942.9
      1.2466       1.1181       0.1285   993.9
      1.2466       1.1181       0.1285   993.9
      1.2456       1.0959       0.1497  1158.4
      1.2456       1.0959       0.1497  1158.4
      1.2398       1.0645       0.1754  1356.8
      1.2398       1.0645       0.1754  1356.8
      1.2399       1.0434       0.1964  1519.8
      1.2399       1.0434       0.1964  1519.8
      1.2399       1.0326       0.2073  1603.7
      1.2399       1.0326       0.2073  1603.7
      1.2415       1.0309       0.2106  1629.0
      1.2415       1.0309       0.2106  1629.0
      1.2438       1.0351       0.2087  1614.3
      1.2438       1.0351       0.2087  1614.3
      1.2447       1.0418       0.2029  1569.4
      1.2447       1.0418       0.2029  1569.4
      1.2426       1.0466       0.1960  1516.4
      1.2426       1.0466       0.1960  1516.4
      1.2427       1.0545       0.1882  1455.7
      1.2427       1.0545       0.1882  1455.7
      1.2418       1.0612       0.1806  1397.1
      1.2418       1.0612       0.1806  1397.1
      1.2410       1.0666       0.1744  1348.9
      1.2410       1.0666       0.1744  1348.9
      1.2396       1.0721       0.1675  1295.7
      1.2396       1.0721       0.1675  1295.7
      1.2383       1.0765       0.1618  1251.9
      1.2383       1.0765       0.1618  1251.9
      1.2332       1.0755       0.1577  1220.3
      1.2332       1.0755       0.1577  1220.3
      1.2245       1.0712       0.1534  1186.4
      1.2245       1.0712       0.1534  1186.4
      1.2225       1.0732       0.1493  1155.4
      1.2225       1.0732       0.1493  1155.4
      1.2233       1.0768       0.1465  1133.5
      1.2233       1.0768       0.1465  1133.5
      1.2182       1.0732       0.1450  1121.9
      1.2182       1.0732       0.1450  1121.9
      1.2185       1.0732       0.1453  1123.9
      1.2185       1.0732       0.1453  1123.9
      1.2172       1.0718       0.1454  1124.8
      1.2172       1.0718       0.1454  1124.8
      1.2168       1.0697       0.1471  1138.4
      1.2168       1.0697       0.1471  1138.4
      1.2170       1.0668       0.1501  1161.6
      1.2170       1.0668       0.1501  1161.6
      1.2140       1.0606       0.1535  1187.4
      1.2140       1.0606       0.1535  1187.4
      1.2160       1.0589       0.1570  1214.7
      1.2160       1.0589       0.1570  1214.7
      1.2164       1.0528       0.1636  1265.4
      1.2164       1.0528       0.1636  1265.4
      1.2210       1.0492       0.1718  1329.2
      1.2210       1.0492       0.1718  1329.2
      1.2240       1.0461       0.1779  1376.1
      1.2240       1.0461       0.1779  1376.1
      1.2286       1.0413       0.1873  1449.2
      1.2286       1.0413       0.1873  1449.2
      1.2327       1.0344       0.1983  1534.2
      1.2327       1.0344       0.1983  1534.2
      1.2354       1.0255       0.2099  1624.1
      1.2354       1.0255       0.2099  1624.1
      1.2411       1.0155       0.2255  1744.8
      1.2411       1.0155       0.2255  1744.8
      1.2429       1.0014       0.2415  1868.1
      1.2429       1.0014       0.2415  1868.1
      1.2445       0.9857       0.2588  2002.2
      1.2445       0.9857       0.2588  2002.2
      1.2515       0.9666       0.2849  2204.0
      1.2515       0.9666       0.2849  2204.0
      1.2685       0.9505       0.3180  2460.2
      1.2685       0.9505       0.3180  2460.2
      1.2901       0.9332       0.3570  2761.5
      1.2901       0.9332       0.3570  2761.5
      1.2885       0.9006       0.3879  3000.6
      1.2885       0.9006       0.3879  3000.6
      1.2847       0.9074       0.3773  2918.8
      1.2847       0.9074       0.3773  2918.8
      1.2631       0.9668       0.2963  2292.3
      1.2631       0.9668       0.2963  2292.3
      1.2533       1.0022       0.2510  1942.1
      1.2533       1.0022       0.2510  1942.1
      1.2661       0.9339       0.3322  2570.0
      1.2661       0.9339       0.3322  2570.0
      1.2736       0.8710       0.4026  3114.7
      1.2736       0.8710       0.4026  3114.7
      1.2746       0.8675       0.4071  3149.6
      1.2746       0.8675       0.4071  3149.6
      1.2704       0.8893       0.3811  2948.4
      1.2704       0.8893       0.3811  2948.4
      1.2463       0.8963       0.3499  2707.2
      1.2463       0.8963       0.3499  2707.2
      1.2381       0.9128       0.3253  2516.4
      1.2381       0.9128       0.3253  2516.4
      1.2287       0.9273       0.3014  2332.0
      1.2287       0.9273       0.3014  2332.0
      1.2207       0.9403       0.2804  2169.2
      1.2207       0.9403       0.2804  2169.2
      1.2141       0.9529       0.2612  2020.4
      1.2141       0.9529       0.2612  2020.4
      1.2094       0.9625       0.2469  1910.3
      1.2094       0.9625       0.2469  1910.3
      1.2041       0.9661       0.2379  1840.8
      1.2041       0.9661       0.2379  1840.8
      1.2024       0.9626       0.2397  1854.5
      1.2024       0.9626       0.2397  1854.5
      1.1979       0.9559       0.2421  1872.6
      1.1979       0.9559       0.2421  1872.6
      1.1941       0.9499       0.2442  1889.2
      1.1941       0.9499       0.2442  1889.2
      1.1940       0.9484       0.2456  1900.0
      1.1940       0.9484       0.2456  1900.0
      1.1904       0.9456       0.2449  1894.5
      1.1904       0.9456       0.2449  1894.5
      1.1948       0.9512       0.2436  1884.5
      1.1948       0.9512       0.2436  1884.5
      1.1932       0.9524       0.2408  1863.0
      1.1932       0.9524       0.2408  1863.0
      1.1900       0.9539       0.2361  1826.7
